Driver,Year,AvgFinish,Wins,DriverRating,Points,Sponsor_Cost,Social_Impressions,Brand_Mentions,Media_Value,Engagement_Value,ROI,Risk_Score,Return_Score,Risk_Return_Segment,Sponsor_Target_Score,Target_Rank,Sponsor_Target_Category
Joey Logano,2022,13.9,2,89.5,3071,149207,299293,12017,23943.44,30042.5,-0.6381809164449389,0.49683717697629864,0.2369104250908181,High Risk / Low Return,0.45731509878623144,123.0,Medium Priority Target
Ross Chastain,2022,14.2,2,92.8,3059,99510,344640,15460,27571.2,38650.0,-0.3345271831976686,0.4496648060322472,0.46018405226177433,High Risk / Low Return,0.5710019341176912,33.0,Medium Priority Target
Kyle Larson,2022,13.6,2,91.8,3057,119287,258078,9589,20646.24,23972.5,-0.6259547142605648,0.4643239900588558,0.24590023226044627,High Risk / Low Return,0.43472700550894494,167.0,Low Priority Target
Ryan Blaney,2022,13.8,0,91.5,3056,118173,200699,5313,16055.92,13282.5,-0.7517333062543897,0.5150226891971345,0.15341646084556104,High Risk / Low Return,0.3307201868256799,459.0,Low Priority Target
Denny Hamlin,2022,16.1,2,87.9,3049,129711,309181,12411,24734.48,31027.5,-0.5701060048877891,0.49752961528046297,0.28696524332132484,High Risk / Low Return,0.4664437096929168,112.0,Medium Priority Target
Chase Elliott,2022,11.9,4,99.3,3045,101954,388784,7055,31102.72,17637.5,-0.5219391097946132,0.3819068588057507,0.32238189129732325,Safe but Moderate,0.41379653585774,217.0,Low Priority Target
Daniel Su<e1>rez,2022,16.3,1,77.3,3045,97804,333943,7714,26715.440000000002,19285.0,-0.529667089280602,0.4922004459000058,0.31669958338664006,High Risk / Low Return,0.397765149797508,247.0,Low Priority Target
Chase Briscoe,2022,18.5,1,69.5,3041,96565,306145,9756,24491.600000000002,24390.0,-0.4937958887795785,0.5108101369998828,0.3430753271036396,High Risk / Low Return,0.43139621075187595,175.0,Low Priority Target
Austin Cindric,2022,15.7,1,72.9,3034,95984,264433,8730,21154.64,21825.0,-0.5522207867977996,0.48530153202245,0.3001160696687939,High Risk / Low Return,0.42406397997060297,195.0,Low Priority Target
William Byron,2022,16.5,2,88.8,3033,111526,319296,3475,25543.68,8687.5,-0.6930654735218694,0.48321580435174155,0.19655434580540784,High Risk / Low Return,0.2890972525285547,608.0,Low Priority Target
Christopher Bell,2022,14.2,1,91.6,3016,127438,248498,11879,19879.84,29697.5,-0.6109689417599147,0.5041559146072874,0.2569191245572661,High Risk / Low Return,0.48603073107521066,90.0,Medium Priority Target
Alex Bowman,2022,16.2,1,78.9,3015,108574,219819,8323,17585.52,20807.5,-0.6463884539576694,0.5030720105079883,0.23087550284233457,High Risk / Low Return,0.4083046060418801,231.0,Low Priority Target
Tyler Reddick,2022,16.6,3,88.7,2107,99184,399785,11924,31982.8,29810.0,-0.37698822390708175,0.4739854628707434,0.4289628633395745,High Risk / Low Return,0.4888141606378134,83.0,Medium Priority Target
Austin Dillon,2022,17.1,1,67.4,2083,109096,251638,11908,20131.04,29770.0,-0.5425951455598739,0.5391974561938794,0.30719370974933896,High Risk / Low Return,0.487276444911783,88.0,Medium Priority Target
Kyle Busch,2022,16.6,1,86.6,2068,92192,320159,8824,25612.72,22060.0,-0.4828974314474141,0.518071649044736,0.3510888564388404,High Risk / Low Return,0.4265279309503948,182.0,Low Priority Target
Kevin Harvick,2022,14.9,2,80.2,2063,124016,304096,14966,24327.68,37415.0,-0.5021394013675655,0.5101211692260871,0.3369404237090898,High Risk / Low Return,0.5340568526856599,48.0,Medium Priority Target
Martin Truex Jr.,2022,15.0,0,88.1,869,101246,182949,5578,14635.92,13945.0,-0.7177081563716098,0.5732670653248679,0.1784348215557105,High Risk / Low Return,0.3481794973773611,396.0,Low Priority Target
Erik Jones,2022,16.7,1,73.9,689,135558,201132,2930,16090.56,7325.0,-0.827265377181723,0.6035111175909567,0.09787846609300932,High Risk / Low Return,0.23686440144111717,781.0,Low Priority Target
Bubba Wallace,2022,18.4,1,70.9,657,143185,150933,6126,12074.64,15315.0,-0.8087115270454307,0.6274195717047736,0.1115209310599819,High Risk / Low Return,0.34842114795505874,395.0,Low Priority Target
Aric Almirola,2022,18.0,0,65.0,640,108381,219402,8152,17552.16,20380.0,-0.6500109797842795,0.6141622334574914,0.22821189494863858,High Risk / Low Return,0.3944715297375664,256.0,Low Priority Target
Chris Buescher,2022,18.0,1,74.0,606,126455,270974,11088,21677.920000000002,27720.0,-0.6093636471472065,0.608430072623475,0.2580994820224104,High Risk / Low Return,0.43913295786181994,158.0,Low Priority Target
Justin Haley,2022,18.2,0,59.8,584,116727,98875,4751,7910.0,11877.5,-0.8304805229295708,0.6260443979172555,0.09551440079623695,High Risk / Low Return,0.3657731586026074,338.0,Low Priority Target
Michael McDowell,2022,16.5,0,69.1,548,94018,76550,3143,6124.0,7857.5,-0.8512891148503479,0.5889034924270878,0.08021404619566026,High Risk / Low Return,0.3274470799500033,471.0,Low Priority Target
Brad Keselowski,2022,18.7,0,67.4,528,101302,81413,2804,6513.04,7010.0,-0.8665076701348442,0.6165981749434941,0.06902399098924443,High Risk / Low Return,0.2805290647885268,639.0,Low Priority Target
Cole Custer,2022,20.8,0,61.3,521,85133,197095,8729,15767.6,21822.5,-0.5584544183806515,0.6193121896100815,0.29553254119026406,High Risk / Low Return,0.43279488229235075,172.0,Low Priority Target
Ricky Stenhouse Jr.,2022,23.0,0,61.5,486,80523,166411,6145,13312.880000000001,15362.5,-0.6438858462799448,0.6354308704617652,0.23271564584869914,High Risk / Low Return,0.3535016474311603,379.0,Low Priority Target
Kurt Busch,2022,16.9,1,76.7,485,144917,135759,3573,10860.72,8932.5,-0.8634168524051699,0.6207872166099425,0.07129663910737816,High Risk / Low Return,0.26599891188460745,680.0,Low Priority Target
Harrison Burton,2022,22.7,0,52.2,482,84414,76350,3468,6108.0,8670.0,-0.8249342526121259,0.6367885506259139,0.09959251924320535,High Risk / Low Return,0.3242514394975528,485.0,Low Priority Target
Ty Dillon,2022,21.7,0,53.8,460,82781,126664,2390,10133.12,5975.0,-0.8054128362788563,0.6268136765771439,0.11394642619383773,High Risk / Low Return,0.21626325901006208,839.0,Low Priority Target
Todd Gilliland,2022,23.4,0,50.4,444,54599,105590,4074,8447.2,10185.0,-0.6587446656532171,0.614064521917001,0.22179010094770163,High Risk / Low Return,0.33784383628407555,436.0,Low Priority Target
Corey LaJoie,2022,24.8,0,48.2,377,85046,102107,4621,8168.56,11552.5,-0.7681130211885333,0.6593738894075483,0.14137261627871542,High Risk / Low Return,0.3349327035084735,443.0,Low Priority Target
Cody Ware,2022,27.4,0,35.3,271,85923,60411,2371,4832.88,5927.5,-0.8747671752615713,0.6867235102154279,0.06295085746126053,High Risk / Low Return,0.2516339676674983,721.0,Low Priority Target
David Ragan,2022,14.8,0,51.2,89,111951,190458,7216,15236.64,18040.0,-0.7027570990879939,0.6053222704539003,0.18942818809217699,High Risk / Low Return,0.39237007608486824,262.0,Low Priority Target
Joey Hand,2022,27.2,0,61.0,63,85984,138725,5563,11098.0,13907.5,-0.7091842668403424,0.6911323137251554,0.18470235435663554,High Risk / Low Return,0.3228369210430197,488.0,Low Priority Target
Greg Biffle,2022,32.4,0,32.7,24,76616,79673,2278,6373.84,5695.0,-0.8424762451707216,0.7294842086078417,0.08669406327996457,High Risk / Low Return,0.18661712968869698,932.0,Low Priority Target
Jacques Villeneuve,2022,22.0,0,42.7,15,52113,185900,8359,14872.0,20897.5,-0.31361656400514265,0.6116562521911058,0.47555942651974203,High Risk / Low Return,0.48971366793342597,82.0,Medium Priority Target
Boris Said,2022,26.0,0,32.5,11,63760,90913,1648,7273.04,4120.0,-0.8213136762860728,0.659441146450907,0.10225469368816405,High Risk / Low Return,0.17577135770593277,951.0,Low Priority Target
Kyle Tilley,2022,34.5,0,26.3,8,71927,162322,2450,12985.76,6125.0,-0.7343033909380343,0.7440645724981589,0.1662325075061705,High Risk / Low Return,0.16060158426539742,981.0,Low Priority Target
Mike Rockenfeller,2022,30.0,0,47.3,7,70939,135581,2904,10846.48,7260.0,-0.7447598641086004,0.7027111079850249,0.15854396481235508,High Risk / Low Return,0.20474257078967573,883.0,Low Priority Target
Daniil Kvyat,2022,36.0,0,27.8,2,82419,161092,5036,12887.36,12590.0,-0.6908800155303996,0.7683054950058906,0.19816129174204114,High Risk / Low Return,0.2447629454951811,750.0,Low Priority Target
Kimi Raikkonen,2022,37.0,0,45.8,1,62588,92634,2818,7410.72,7045.0,-0.7690336805777465,0.7572700743794718,0.14069566441311387,High Risk / Low Return,0.1949497750842819,914.0,Low Priority Target
Daniel Hemric,2022,22.7,0,54.8,0,86142,145074,6212,11605.92,15530.0,-0.68498618560052,0.6527676857747645,0.20249496738073763,High Risk / Low Return,0.3676564914541626,334.0,Low Priority Target
Landon Cassill,2022,22.4,0,42.0,0,89198,123889,3243,9911.12,8107.5,-0.7979930043274513,0.653163478890355,0.11940215622907525,High Risk / Low Return,0.25038897798291093,726.0,Low Priority Target
Kaz Grala,2022,24.7,0,38.1,0,83397,55410,1627,4432.8,4067.5,-0.8980742712567598,0.667942569719006,0.04581337719379483,High Risk / Low Return,0.2084460467047639,875.0,Low Priority Target
BJ McLeod,2022,28.6,0,31.6,0,66653,133535,1406,10682.800000000001,3515.0,-0.7869893328132267,0.6860226875437947,0.127493048525723,High Risk / Low Return,0.14585951989393464,1013.0,Low Priority Target
Noah Gragson,2022,24.2,0,49.0,0,60831,146055,3854,11684.4,9635.0,-0.6495306669296904,0.6406523526562281,0.22856506430398982,High Risk / Low Return,0.2870126382968827,615.0,Low Priority Target
Garrett Smithley,2022,26.6,0,32.4,0,55724,187868,6746,15029.44,16865.0,-0.42763548919675537,0.657030169290915,0.39172242336017654,High Risk / Low Return,0.3919680117528536,263.0,Low Priority Target
Josh Bilicki,2022,29.2,0,34.0,0,61083,136716,1451,10937.28,3627.5,-0.7615575528379418,0.6857787945841717,0.14619278819225845,High Risk / Low Return,0.15069532779271155,1004.0,Low Priority Target
